id_paciente;id_medico;id_mensaje;id_sala
2;10;1;1
2;10;2;1
2;10;3;1
2;10;4;1
2;10;5;1
2;10;6;1
2;10;7;1
2;10;8;1
2;10;9;1
4;11;10;2
4;11;11;2
4;11;12;2
4;11;13;2
4;11;14;2
4;11;15;2
4;11;16;2
4;11;17;2
4;11;18;2
5;13;5;3
5;13;19;3
5;13;20;3
5;13;21;3
5;13;22;3
5;13;23;3
5;13;24;3
5;13;26;3
5;13;27;3
6;1;28;4
6;1;29;4
6;1;30;4
6;1;31;4
6;1;32;4
6;1;33;4
6;1;34;4
6;1;35;4
6;1;36;4
7;12;37;5
7;12;38;5
7;12;39;5
7;12;40;5
7;12;41;5
7;12;42;5
7;12;43;5
7;12;44;5
7;12;45;5
8;17;46;6
8;17;47;6
8;17;48;6
8;17;49;6
8;17;50;6
8;17;51;6
8;17;52;6
8;17;53;6
8;17;54;6
8;17;55;6
8;17;56;6
9;20;57;7
9;20;58;7
9;20;59;7
9;20;60;7
9;20;61;7
9;20;62;7
9;20;63;7
9;20;64;7
9;20;65;7
21;34;66;8
21;34;67;8
21;34;68;8
21;34;69;8
21;34;70;8
21;34;71;8
21;34;72;8
21;34;73;8
21;34;74;8
22;34;75;9
22;34;76;9
22;34;77;9
22;34;78;9
22;34;79;9
22;34;80;9
22;34;81;9
22;34;82;9
22;34;83;9
23;19;84;10
23;19;85;10
23;19;86;10
23;19;87;10
23;19;88;10
23;19;89;10
23;19;90;10
23;19;91;10
23;19;92;10
24;16;93;11
24;16;94;11
24;16;95;11
24;16;96;11
24;16;97;11
24;16;98;11
24;16;99;11
24;16;100;11
24;16;101;11
25;38;102;12
25;38;103;12
25;38;104;12
25;38;105;12
25;38;106;12
25;38;107;12
25;38;108;12
25;38;109;12
25;38;110;12
25;38;111;12
25;38;112;12
26;41;113;13
26;41;114;13
26;41;115;13
26;41;116;13
26;41;117;13
26;41;118;13
26;41;119;13
26;41;120;13
26;41;121;13
27;40;122;14
27;40;123;14
27;40;124;14
27;40;125;14
27;40;126;14
27;40;130;14
51;52;140;15
51;52;141;15
51;52;142;15
51;52;143;15
51;52;144;15
51;52;145;15
51;52;146;15
51;52;147;15
51;52;148;15
